題號,題目,A,B,C,D,答案,解析,來源名稱,來源網址
3,1 人工智慧概念 ................................ ............................. 3-1,,,,,,,AI應用規劃師(初級)-學習指引-科目1_人工智慧基礎概論1141203_20251222172144.pdf,https://www.ipas.org.tw/api/proxy/uploads/certification_resource/bf93f438f7be48d295c1b40a34d79f3d/AI應用規劃師(初級)-學習指引-科目1_人工智慧基礎概論1141203_20251222172144.pdf
3,2 資料處理與分析概念 ................................ ............... 3-24,,,,,,,AI應用規劃師(初級)-學習指引-科目1_人工智慧基礎概論1141203_20251222172144.pdf,https://www.ipas.org.tw/api/proxy/uploads/certification_resource/bf93f438f7be48d295c1b40a34d79f3d/AI應用規劃師(初級)-學習指引-科目1_人工智慧基礎概論1141203_20251222172144.pdf
3,3 機器學習概念 ................................ ........................... 3-33,,,,,,,AI應用規劃師(初級)-學習指引-科目1_人工智慧基礎概論1141203_20251222172144.pdf,https://www.ipas.org.tw/api/proxy/uploads/certification_resource/bf93f438f7be48d295c1b40a34d79f3d/AI應用規劃師(初級)-學習指引-科目1_人工智慧基礎概論1141203_20251222172144.pdf
3,4 鑑別式 AI 與生成式 AI 概念 ................................ ... 3-48 ................................ .................. A-1 經濟部為有效提升產業人才素質，近年來持續致力於專業人才培訓發展。為 了更明確產業對各類專業人才的能力需求，特別針對亟需人才的多項重點產業， 邀集產官學專家，發展產業職能基準，提供各界依其內涵辦理培訓課程及規劃能 力鑑定機制。 為完成特定職業 (或職類 )工作任務，所需具備的能力組合 (知識、技能、 態度 )。 AI AI 應用規劃師 了解 AI 工具的特性及具備使用經驗，以協助企業規劃與推動 AI 技術或工 具導入，根據企業部門業務需求，評估並選擇適合的 AI 工具或解決方案， 應用於內部流程或產品生命週期。整合跨部門團隊，共同制定與執行 AI 導 入計畫，進行開發、部署及後續優化。 (建議具以下至少 1 項),,,,,,,AI應用規劃師(初級)-學習指引-科目1_人工智慧基礎概論1141203_20251222172144.pdf,https://www.ipas.org.tw/api/proxy/uploads/certification_resource/bf93f438f7be48d295c1b40a34d79f3d/AI應用規劃師(初級)-學習指引-科目1_人工智慧基礎概論1141203_20251222172144.pdf
2,具 1 年以上從事演算法設計、人工智慧、機器學習、深度學習、商業智 慧等技術應用的工作經驗。,,,,,,,AI應用規劃師(初級)-學習指引-科目1_人工智慧基礎概論1141203_20251222172144.pdf,https://www.ipas.org.tw/api/proxy/uploads/certification_resource/bf93f438f7be48d295c1b40a34d79f3d/AI應用規劃師(初級)-學習指引-科目1_人工智慧基礎概論1141203_20251222172144.pdf
3,具 3 年以上程式開發或專案管理經驗，並曾參與大型專案及具協助專案 管理經驗。,,,,,,,AI應用規劃師(初級)-學習指引-科目1_人工智慧基礎概論1141203_20251222172144.pdf,https://www.ipas.org.tw/api/proxy/uploads/certification_resource/bf93f438f7be48d295c1b40a34d79f3d/AI應用規劃師(初級)-學習指引-科目1_人工智慧基礎概論1141203_20251222172144.pdf
5,了解 no code/ low code 、ChatGPT 、生成式工具。,,,,,,,AI應用規劃師(初級)-學習指引-科目1_人工智慧基礎概論1141203_20251222172144.pdf,https://www.ipas.org.tw/api/proxy/uploads/certification_resource/bf93f438f7be48d295c1b40a34d79f3d/AI應用規劃師(初級)-學習指引-科目1_人工智慧基礎概論1141203_20251222172144.pdf
6,此項職能基準範圍為跨產業適用。 5 完整的 「AI 應用規劃師 」職能基準， 可自右方 QRcode 下載：  第一章 考試科目與評鑑內容 1-1 科目一： 人工智慧基礎 概論 人工智慧概念 AI 的定義與分類 AI 治理概念 資料處理與分析概念 資料基本概念與來源 資料整理與分析流程 資料隱私與安全 機器學習概念 機器學習基本原理 常見的機器學習模型 鑑別式 AI 與生成式 AI 概念 鑑別式 AI 與生成式 AI 的基本原理 鑑別式 AI 與生成式 AI 的整合應用 科目二： 生成式 AI應用 與規劃 No code / Low code 概念 No Code / Low Code 的基本概念 No Code / Low Code 的優勢與限制 生成式 AI 應用領域與工 具使用 生成式 AI 應用領域與常見工具 如何善用生成式 AI 工具 生成式 AI 導入評估規劃 生成式 AI 導入評估 生成式 AI 導入規劃 生成式 AI 風險管理  第二章 考科內容 2-1 本指引將說明初級「 AI 應用規劃師」科目一之考試內容，包含「人工智慧基 礎概論」之評鑑主題「人工智慧概念」 、 「資料處理與分析概念」 、 「機器學習概念」 與 「鑑別式 AI 與生成式 AI 概念」 ，幫助考生掌握人工智慧基礎知識，奠定未來應 用與規劃的堅實基石 。 此外， 為強化學習成效 ， 每章節將提供多樣化的練習評量 ， 幫助考生自我測試與檢視學習成果 。  第三章 人工智慧基礎概論 3-1,,,,,,,AI應用規劃師(初級)-學習指引-科目1_人工智慧基礎概論1141203_20251222172144.pdf,https://www.ipas.org.tw/api/proxy/uploads/certification_resource/bf93f438f7be48d295c1b40a34d79f3d/AI應用規劃師(初級)-學習指引-科目1_人工智慧基礎概論1141203_20251222172144.pdf
3,"1 人工智慧 (Artificial Intelligence, AI )是一種旨在模擬人類智慧的技術，使機 器能夠執行原本需要人類智慧才能完成的任務，如學習、推理、解決問題、感知 環境等。近十年來，隨著軟硬體技術進步、計算能力提升、開放資料普及，以及 數據的多樣性、品質與規模增長，加上演算法與機器學習的不斷精進，人工智慧 的發展突飛猛進。 依照功能的不同， AI 可以分為以下幾類：  分析型 AI：主要用於洞悉數據模式，分析和處理大量數據，以提供有價值的見 解。  預測型 AI：基於歷史資料和數據，預測未來的趨勢和行為，常應用於市場預測、 風險評估等領域。  生成型 AI：近年快速發展的 AI 類型，可根據使用者輸入的提示詞 (prompt )， 生成各類素材，包括文字、語音、圖像和影片。 在企業運營中，人工智慧的應用通常集中於幾個主要目標，包括提高效率、 增強決策能力、提供個人化服務以及促進創新。生成式 AI 自 2022 年快速發展以 來，透過使用者輸入的提示詞 (prompt )，能高效生成多種素材形式，此技術大幅 改變了許多行業的工作型態 ， 為企業在數位化轉型與創新發展上提供了新的契機 。",,,,,,,AI應用規劃師(初級)-學習指引-科目1_人工智慧基礎概論1141203_20251222172144.pdf,https://www.ipas.org.tw/api/proxy/uploads/certification_resource/bf93f438f7be48d295c1b40a34d79f3d/AI應用規劃師(初級)-學習指引-科目1_人工智慧基礎概論1141203_20251222172144.pdf
1,人工智慧技術的多樣化應用正在迅速改變各行各業的運作模式，其影響深遠 且範圍廣泛，以下為主要應用領域及其具體實例：  第三章 人工智慧基礎概論 3-2 (1)醫療保健：  疾病診斷：利用 AI 分析醫學影像 (如 X 光片、 MRI 等)以輔助醫師進行精準 診斷，並提早發現病變。  藥物研發：透過 AI 進行藥物分子結構模擬，大幅縮短藥物研發的時間與成本。  個人化醫療：基於病患的基因、生活習慣與醫療記錄，提供量身訂制的治療方 案。 (2)金融：  風險評估：透過 AI 模型分析用戶信用記錄與金融行為，提升貸款審核準確性。  欺詐檢測：實時監控交易行為， 偵測異常模式以降低詐欺風險。  自動交易：運用 AI 演算法快速分析市場數據，進行高頻交易以抓住投資機會。 (3)製造業：  自動化生產：機器人與 AI 結合，自動執行重複性生產任務，提升生產效率。  品質控制：運用影像辨識技術檢測產品缺陷，提升檢測精準度，確保高品質出 貨。  預測性維護： AI 分析設備運行數據，提前預測並預防機器故障。 (4)交通：  自動駕駛： AI 技術結合感測器與導航系統，實現自動駕駛汽車的精準控制與路 徑規劃。  交通流量預測： AI 分析歷史與即時交通數據，提供動態交通管理與路線建議。 (5)娛樂：  遊戲開發： AI 生成自適應遊戲角色及情節，提升玩家的沉浸體驗。  虛擬現實： AI 與 VR 技術結合，創造更真實的沉浸式虛擬環境。  內容推薦：分析用戶偏好，提供個人化的音樂、影視及文章推薦。  第三章 人工智慧基礎概論 3-3,,,,,,,AI應用規劃師(初級)-學習指引-科目1_人工智慧基礎概論1141203_20251222172144.pdf,https://www.ipas.org.tw/api/proxy/uploads/certification_resource/bf93f438f7be48d295c1b40a34d79f3d/AI應用規劃師(初級)-學習指引-科目1_人工智慧基礎概論1141203_20251222172144.pdf
